GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Colesterol (mg),Vitamina A     (µg RE),Calcio (mg),Hierro (mg),Sodio (mg),Selenio (mg)
A.O.A MUY BAJOS EN GRASA,Pancita de res,45,g,45,43,40,6.2,1.7,0.0,40.6,9.0,25.7,0.9,19.7,5.3
A.O.A MUY BAJOS EN GRASA,Pargo,70,g,70,36,37,7.5,0.7,0.0,15.7,ND,6.1,0.3,23.9,5.0
A.O.A MUY BAJOS EN GRASA,Pargo fileteado,35,g,35,35,36,7.4,0.7,0.0,15.4,ND,6.0,0.3,23.5,4.9
A.O.A MUY BAJOS EN GRASA,Pata de res,120,g,120,55,44,6.7,1.6,0.0,ND,ND,55.8,1.1,ND,ND
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo,1 1/2,rebanada,32,32,35,7.1,0.5,0.0,13.5,0.0,1.5,0.1,451.5,9.7
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada,1 1/2,rebanada,34,34,32,6.7,0.3,0.5,15.0,0.0,5.3,0.5,402.8,9.8
A.O.A MUY BAJOS EN GRASA,Pechuga de pavo ahumada bajo en grasa,2,rebanada,42,42,33,6.3,0.2,1.5,12.9,0.0,4.0,0.3,459.6,12.2
A.O.A MUY BAJOS EN GRASA,Pechuda de pollo sin pile aplanada,30,g,30,30,48,8.7,1.2,0.0,23.1,2.4,3.9,0.3,19.5,6.7
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo ahumada,2,rebanada,42,42,33,6.9,0.1,1.1,15.0,0.0,1.0,0.1,452.0,10.9
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo deshuesada sin piel cruda,30,g,30,30,34,7.0,0.5,0.0,17.4,2.4,3.6,0.2,20.4,5.3
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel ,30,g,30,27,31,6.3,0.4,0.0,15.7,2.2,3.2,0.2,18.4,4.8
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel a la plancha,30,g,30,30,48,8.7,1.2,0.0,23.1,2.4,3.9,0.3,19.5,6.7
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel asada,30,g,30,30,48,8.7,1.2,0.0,23.1,2.4,3.9,0.3,19.5,6.7
A.O.A MUY BAJOS EN GRASA,Pechuga de pollo sin piel cocida,30,g,30,30,48,8.7,1.2,0.0,23.1,2.4,3.9,0.3,19.5,6.7
