GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Fibra (g),Vitamina A     (µg RE),Acido Ascórbico   (mg),Acido Fólico (µg),Hierro NO HEM (mg),Potasio (mg),Azúcar por equivalente (g),indice glicémuco,Carga glicémica
FRUTAS,Fresa entera,17,pieza med,204,204,65,1.4,0.6,15.7,4.1,55.1,120.0,49.0,0.8,312.1,10.0,40.0,6.3
FRUTAS,Fresa rebanada,1,taza,166,1066,53,1.1,0.5,12.7,3.3,44.8,97.6,39.8,0.7,254.0,8.1,ND,ND
FRUTAS,Fresas congeladas con azucar,1/4,taza,64,64,50,0.3,0.1,13.4,1.2,0.8,25.3,2.6,0.3,62.5,11.9,ND,ND
FRUTAS,Fresas congeladas sin azúcar,1/2,taza,111,111,39,0.5,0.1,10.1,2.3,2,45.2,18.8,0.8,163.5,5.1,ND,ND
FRUTAS,Fruta de la pasión,3,pieza,165,58,56,1.3,0.4,13.5,6.0,41.7,16.0,9.6,0.9,202.1,6.5,ND,ND
FRUTAS,Fruta picada,1,taza,140,140,59,0.7,0.3,14.7,1.4,30.3,37.4,13.1,0.2,213.2,7.7,ND,ND
FRUTAS,Fruto del pan,85,g,85,74,60,1.0,0.4,14.9,1.3,3.0,21.4,0.0,0.4,362.4,0.0,38.0,5.6
FRUTAS,Gajos de mandarina,1,taza,105,105,56,0.9,0.3,14.0,1.9,113.4,75.6,8.4,0.3,186.9,11.1,ND,ND
FRUTAS,Gajos de naranja,1,taza,150,150,71,1.4,0.2,17.7,3.6,18.0,79.5,45.0,0.2,271.5,14.0,ND,ND
FRUTAS,Gajos de toronja,1,taza,150,150,50,0.8,0.2,12.6,1.7,0.0,0.0,0.0,0.0,0.0,11.0,ND,ND
FRUTAS,Giotilla,200,g,200,130,66,2.3,1.0,13.9,2.0,0.0,22.1,0.0,4.3,0.0,0.0,ND,ND
FRUTAS,Granada chica,2,pieza,120,67,65,1.5,0.5,15.7,7.3,18.8,20.2,13.4,1.1,233.9,0.0,ND,ND
FRUTAS,Granada roja,1,pieza,190,87,44,0.9,0.3,15.5,2.4,0.0,5.2,0.0,0.3,226.4,0.0,ND,ND
