GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Colesterol (mg),Vitamina A     (µg RE),Calcio (mg),Hierro (mg),Sodio (mg),Selenio (mg)
A.O.A.BAJO EN GRASA,Queso fresco de cabra,30,g,30,30,52,7.1,1.5,2.6,7.8,12.0,260.1,1.7,ND,2.7
A.O.A.BAJO EN GRASA,Queso fresco de vaca,40,g,40,40,58,6.1,2.8,2.0,0.0,28.0,273.6,0.1,0.0,3.6
A.O.A.BAJO EN GRASA,Queso Oaxaca Lala Light,30,g,30,30,64,7.8,3.3,0.8,ND,ND,230.0,ND,190.0,ND
A.O.A.BAJO EN GRASA,Queso panela,40,g,40,40,58,6.1,2.8,2.0,0.0,28.0,273.6,0.1,0.0,4.8
A.O.A.BAJO EN GRASA,Queso panela Lala Light,30,g,30,30,52,5.7,2.7,1.2,ND,ND,200.0,ND,180.0,ND
A.O.A.BAJO EN GRASA,Queso ricotta reducido en grasa,3,cucharada,45,45,62,5.1,3.6,2.3,13.8,48.3,122.3,0.0,56.3,0.0
A.O.A.BAJO EN GRASA,Retazo de carnero,500,g,500,50,56,7.1,2.8,0.0,32.5,0.0,8.5,1.1,37.5,19.0
A.O.A.BAJO EN GRASA,Rib eye sin grasa,25,g,25,25,56,7.0,2.9,0.0,20.0,0,3.3,0.6,17.3,4.3
A.O.A.BAJO EN GRASA,Salmón,30,g,30,30,55,6.0,3.2,0.0,17.6,4.6,3.5,0.1,17.6,11.0
A.O.A.BAJO EN GRASA,Salmón cocido,30,g,30,30,55,6.0,3.2,0.0,17.6,4.6,3.5,0.1,17.6,17.2
A.O.A.BAJO EN GRASA,Salmón fresco,30,g,30,30,55,6.0,3.2,0.0,17.6,4.6,3.5,0.1,17.6,13.8
A.O.A.BAJO EN GRASA,Short loin,25,g,25,25,54,7.2,2.6,0.0,19.0,0.0,2.0,0.6,17.0,5.8
A.O.A.BAJO EN GRASA,Sierra ahumada,30,g,30,30,51,7.3,2.2,0.0,20.5,25.8,25.8,0.1,12.7,4.2
A.O.A.BAJO EN GRASA,Sirloin,25,g,25,25,51,7.6,2.0,0.0,22.3,0.0,2.8,0.8,16.5,4.6
A.O.A.BAJO EN GRASA,Sustituto de huevo en polvo,3,cucharada,15,15,67,8.3,2.0,3.3,85.8,55.4,48.9,0.5,120.0,19.2
A.O.A.BAJO EN GRASA,Sustituto de huevo liquido,4,cucharada,60,60,51,7.1,2.0,0.4,0.0,130.2,31.9,1.3,106.0,24.8
A.O.A.BAJO EN GRASA,T-bone sin grasa,30,g,30,24,49,6.4,2.4,0.0,14.2,0.0,1.4,0.8,17.0,5.3
A.O.A.BAJO EN GRASA,Ternera,35,g,35,35,55,6.9,2.8,0.0,31.5,0.0,3.9,1.1,31.5,5.50
A.O.A.BAJO EN GRASA,Ternera en canal,40,g,40,38,59,7.5,3.0,0.0,34.2,0.0,4.2,1.1,34.2,5.90
A.O.A.BAJO EN GRASA,Tofu! firme,40,g,40,40,58,6.3,3.5,1.7,ND,ND,ND,ND,ND,ND
A.O.A.BAJO EN GRASA,Trucha,70,g,70,32,54,5.9,3.2,0.0,15.5,0.0,3.9,0.3,22.5,4.1
A.O.A.BAJO EN GRASA,Trucha ahumada,30,g,30,30,51,7.3,2.2,0.0,20.5,25.8,25.8,0.1,12.7,4.5
A.O.A.BAJO EN GRASA,Trucha cocida,30,g,30,30,51,7.3,2.2,0.0,20.5,25.8,25.8,0.1,12.7,4.5
A.O.A.BAJO EN GRASA,Trucha fileteada,35,g,35,35,59,6.4,3.5,0.0,16.8,0.0,4.2,0.4,24.5,4.4
