GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Colesterol (mg),Vitamina A     (µg RE),Calcio (mg),Hierro (mg),Sodio (mg),Selenio (µg)
A.O.A.ALTO EN GRASA,Mozzarella fresco,35,g,35,35,105,7.8,7.8,0.8,27.5,60.9,176.8,0.2,219.5,1.3
A.O.A.ALTO EN GRASA,Nugget de pollo,2,pieza,34,34,101,5.2,6.7,4.8,14.6,0.0,10.5,0.4,189.4,0.9
A.O.A.ALTO EN GRASA,Nugget de queso,3,pieza,43,43,105,4.5,5.5,10.0,5.0,0.0,75.2,0.2,531.2,0.9
A.O.A.ALTO EN GRASA,Nugget de soya,2,pieza,34,34,98,4.8,6.4,5.3,0.8,0.0,16.0,0.6,283.6,0.0
A.O.A.ALTO EN GRASA,Ostión ahumado,55,g,55,55,109,4.9,6.9,6.4,44.6,49.8,34.3,3.8,229.7,3.8
A.O.A.ALTO EN GRASA,Ostión empanizado,55,g,55,55,109,4.9,6.9,6.4,44.6,49.8,34.3,3.8,229.7,0.8
A.O.A.ALTO EN GRASA,Palitos de pescado congelados,1 1/2,pieza,42,42,116,6.6,5.3,10.1,48.0,13.5,9.0,0.3,247.5,5.9
A.O.A.ALTO EN GRASA,Paloma,45,g,45,35,102,6.4,8.2,0.0,32.9,25.3,4.2,1.2,18.7,0.9
A.O.A.ALTO EN GRASA,Pastel de pavo,1 1/2,rebanada,32,32,105,3.9,9.6,0.6,19.5,0.0,1.5,0.2,406.5,1.3
A.O.A.ALTO EN GRASA,Patel de pollo,40,g,40,40,106,4.0,8.7,2.9,28.6,0.0,41.4,0.7,511.4,0.6
A.O.A.ALTO EN GRASA,Pastel de puerco,1 1/2,rebanada,32,32,105,3.9,9.6,0.6,19.5,0.0,1.5,0.2,406.5,0.6
A.O.A.ALTO EN GRASA,Pastel de ternera,40,g,40,40,106,4.0,8.7,2.9,28.6,0.0,41.4,0.7,511.4,0.6
A.O.A.ALTO EN GRASA,Pata de carnera cocida,50,g,50,35,38,7.4,7.4,0.0,0.0,0.0,18.2,0.4,0.0,2.8
A.O.A.ALTO EN GRASA,Peperami,3/4,pieza,19,19,103,4.0,9.3,1.0,25.3,31.9,13.1,0.6,277.5,0.0
A.O.A.ALTO EN GRASA,Peperoni,10,rebanada,20,20,99,4.5,8.8,0.0,21.0,0.0,4.4,0.3,330.6,1.6
A.O.A.ALTO EN GRASA,Pescuezo de pollo con piel sin hueso,1,pieza,50,32,95,4.5,8.4,0.0,31.7,20.8,5.8,0.6,20.5,0.5
A.O.A.ALTO EN GRASA,Pollo crispy,45,g,45,34,106,5.4,7.1,5.1,20.0,0.0,5.7,0.3,154.4,0.7
A.O.A.ALTO EN GRASA,Pollo rostizado,1/3,pieza,50,28,80,6.7,6.3,0.0,0.0,57.4,2.8,0.5,0.0,1.6
