GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Fibra (g),Vitamina A     (µg RE),Acido Ascórbico (mg),Acido Fólico (µg),Hierro NO HEM (mg),Potasio (mg),Indice glicémico,Carga glicémica
VERDURAS,Cozarón de alcachofa crudo,1,pieza,25,25,16,0.6,0.6,4.1,0.3,3.0,1.5,18.5,0.2,84.8,ND,ND
VERDURAS,Corazón de lechuga crudo,1,pieza,130,124,12,1.2,1.2,4.4,1.9,43.2,6.2,67.9,0.6,197.6,ND,ND
VERDURAS,Corazón de palmito crudo,3,pieza,99,99,27,2.4,2.4,4.5,2.4,0.0,9.0,39.0,3.1,174.0,ND,ND
VERDURAS,Cresón cocido,1,taza,135,135,31,2.6,2.6,5.2,1.0,313.2,31.1,50.0,1.1,476.6,ND,ND
VERDURAS,Cresón limpio crudo,2,taza,100,100,32,2.8,2.8,5.6,1.2,346.0,69.0,80.0,1.3,606.0,ND,ND
VERDURAS,Crucetas crudas,150,g,150,117,21,1.3,1.3,4.3,0.8,25.7,28.1,0.0,6.8,0.0,ND,ND
VERDURAS,Cuitlacoche cocido,1/3,taza,66,66,20,0.8,0.8,4.1,1.2,0.0,2.6,ND,0.3,ND,ND,ND
VERDURAS,Echalot,1,pieza,40,34,25,0.9,0.9,5.8,ND,20.6,2.8,11.7,0.4,119.9,ND,ND
VERDURAS,Ejotes cocidos picados,1/2,taza,63,63,22,1.2,1.2,4.9,2.0,21.9,6.1,20.6,0.4,91.3,ND,ND
VERDURAS,Elotitos de cambray,8,pieza,64,64,26,2.1,2.1,4.3,1.8,14.0,3.9,29.7,0.4,159.2,ND,ND
VERDURAS,Envidia cruda,3,taza,150,129,22,1.6,1.6,4.3,4.0,139.3,8.4,183.2,1.1,405.1,ND,ND
VERDURAS,Espárragos crudos,6,pieza,90,90,22,2.3,2.3,3.8,2.8,49.0,10.0,131.0,0.7,144.0,ND,ND
