GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Sodio (mg)
ALIMENTOS LIBRES EN ENERGIA,Salsa inglesa,1/2,cucharada,8,8,8,1.0,0.5,3.8,82.5
ALIMENTOS LIBRES EN ENERGIA,Salsa Tabasco,1,cucharadita,6,6,1,0.0,0.0,0.1,38.4
ALIMENTOS LIBRES EN ENERGIA,Salsa teriyaki,1,cucharadita,5,5,5,0.3,0.0,0.8,254.7
ALIMENTOS LIBRES EN ENERGIA,Salvia,1,cucharadita,1,1,3,0.1,0.1,0.6,0.0
ALIMENTOS LIBRES EN ENERGIA,Semilla de anís,1,cucharadita,2,2,7,0.4,0.3,1.0,0.0
ALIMENTOS LIBRES EN ENERGIA,Semilla de apio,1,cucharadita,2,2,8,0.4,0.5,0.8,3.0
ALIMENTOS LIBRES EN ENERGIA,Semilla de cardamomo,1,cucharadita,2,2,6,0.2,0.1,1.4,0.0
ALIMENTOS LIBRES EN ENERGIA,Semilla de cilantro,1,cucharadita,2,2,6,0.2,0.4,1.1,1.0
ALIMENTOS LIBRES EN ENERGIA,Semilla de eneldo,1,cucharadita,2,2,6,0.3,0.3,1.1,0.0
ALIMENTOS LIBRES EN ENERGIA,Semilla de mosraza,1/2,cucharadita,2,2,7,0.4,0.5,0.5,0.0
ALIMENTOS LIBRES EN ENERGIA,Sidral de dieta,1,lata,355,355,1,0.0,0.0,0.1,5.7
ALIMENTOS LIBRES EN ENERGIA,Sidral light,1,lata,355,355,1,0.0,0.0,0.1,5.7
ALIMENTOS LIBRES EN ENERGIA,Squirt de dieta,1,lata,355,355,1,0.0,0.0,0.1,5.7
ALIMENTOS LIBRES EN ENERGIA,Squirt light,1,lata,355,355,1,0.0,0.0,0.1,5.7
ALIMENTOS LIBRES EN ENERGIA,Tomillo,1,cucharadita,2,2,7,0.2,0.2,1.3,1.0
ALIMENTOS LIBRES EN ENERGIA,Vainilla,1,cucharadita,5,5,8,0.0,0.0,0.4,0.0
ALIMENTOS LIBRES EN ENERGIA,Vainilla en trozo,1/4,raja,3,3,6,0.1,0.1,2.0,1.3
ALIMENTOS LIBRES EN ENERGIA,Vinagre,1,cucharadita,5,5,1,0.0,0.0,0.3,0.0
ALIMENTOS LIBRES EN ENERGIA,Vinagre balsámico,1,cucharadita,5,5,1,0.0,0.0,0.3,0.0
ALIMENTOS LIBRES EN ENERGIA,Vinagre blanco,1,cucharadita,5,5,1,0.0,0.0,0.3,0.0
ALIMENTOS LIBRES EN ENERGIA,Vinagre de caña,1,cucharadita,5,5,1,0.0,0.0,0.3,0.0
ALIMENTOS LIBRES EN ENERGIA,Vinagre de fruta,1,cucharadita,5,5,1,0.0,0.0,0.3,0.0
ALIMENTOS LIBRES EN ENERGIA,Vinagre de jeréz,1,cucharadita,5,5,1,0.0,0.0,0.3,0.0
ALIMENTOS LIBRES EN ENERGIA,Viangre de manzana,1,cucharadita,5,5,1,0.0,0.0,0.3,0.0
ALIMENTOS LIBRES EN ENERGIA,Vinagre de sidra,1,cucharadita,5,5,1,0.0,0.0,0.3,0.0
ALIMENTOS LIBRES EN ENERGIA,Vinagre de vino,1,cucharadita,5,5,1,0.0,0.0,0.3,0.0
ALIMENTOS LIBRES EN ENERGIA,Vinagre de yema,1,cucharadita,5,5,1,0.0,0.0,0.3,0.0
