grupo,nombre,aporte,cantidad
A.O.A.BAJO EN GRASA,Carne de cerdo,Peso bruto redondeado (g),40
A.O.A.BAJO EN GRASA,Carne de cerdo,Peso neto (g),40
A.O.A.BAJO EN GRASA,Carne de cerdo,Energia (Kcal),56
A.O.A.BAJO EN GRASA,Carne de cerdo,Proteina (g),7.9
A.O.A.BAJO EN GRASA,Carne de cerdo,Lípidos (g),2.5
A.O.A.BAJO EN GRASA,Carne de cerdo,Hidratos de carbono (g),0.0
A.O.A.BAJO EN GRASA,Carne de cerdo,Colesterol (mg),26.0
A.O.A.BAJO EN GRASA,Carne de cerdo,Vitamina A     (µg RE),0.4
A.O.A.BAJO EN GRASA,Carne de cerdo,Calcio (mg),2.4
A.O.A.BAJO EN GRASA,Carne de cerdo,Hierro (mg),0.5
A.O.A.BAJO EN GRASA,Carne de cerdo,Sodio (mg),32.8
A.O.A.BAJO EN GRASA,Carne de cerdo,Selenio (mg),13.2
A.O.A.BAJO EN GRASA,Carne de cerdo molida,Cantidad sugerida,40
A.O.A.BAJO EN GRASA,Carne de cerdo molida,Unidad,g
A.O.A.BAJO EN GRASA,Carne de cerdo molida,Peso bruto redondeado (g),40
A.O.A.BAJO EN GRASA,Carne de cerdo molida,Peso neto (g),40
A.O.A.BAJO EN GRASA,Carne de cerdo molida,Energia (Kcal),56
A.O.A.BAJO EN GRASA,Carne de cerdo molida,Proteina (g),7.9
A.O.A.BAJO EN GRASA,Carne de cerdo molida,Lípidos (g),2.5
A.O.A.BAJO EN GRASA,Carne de cerdo molida,Hidratos de carbono (g),0.0
A.O.A.BAJO EN GRASA,Carne de cerdo molida,Colesterol (mg),26.0
A.O.A.BAJO EN GRASA,Carne de cerdo molida,Vitamina A     (µg RE),0.4
A.O.A.BAJO EN GRASA,Carne de cerdo molida,Calcio (mg),2.4
A.O.A.BAJO EN GRASA,Carne de cerdo molida,Hierro (mg),0.5
A.O.A.BAJO EN GRASA,Carne de cerdo molida,Sodio (mg),32.8
A.O.A.BAJO EN GRASA,Carne de cerdo molida,Selenio (mg),11.4
A.O.A.BAJO EN GRASA,Carne de ganzo de crianza,Cantidad sugerida,40
A.O.A.BAJO EN GRASA,Carne de ganzo de crianza,Unidad,g
A.O.A.BAJO EN GRASA,Carne de ganzo de crianza,Peso bruto redondeado (g),40
A.O.A.BAJO EN GRASA,Carne de ganzo de crianza,Peso neto (g),32
A.O.A.BAJO EN GRASA,Carne de ganzo de crianza,Energia (Kcal),52
A.O.A.BAJO EN GRASA,Carne de ganzo de crianza,Proteina (g),7.4
A.O.A.BAJO EN GRASA,Carne de ganzo de crianza,Lípidos (g),2.3
A.O.A.BAJO EN GRASA,Carne de ganzo de crianza,Hidratos de carbono (g),0.0
A.O.A.BAJO EN GRASA,Carne de ganzo de crianza,Colesterol (mg),27.2
A.O.A.BAJO EN GRASA,Carne de ganzo de crianza,Vitamina A     (µg RE),3.9
A.O.A.BAJO EN GRASA,Carne de ganzo de crianza,Calcio (mg),4.2
A.O.A.BAJO EN GRASA,Carne de ganzo de crianza,Hierro (mg),0.8
A.O.A.BAJO EN GRASA,Carne de ganzo de crianza,Sodio (mg),28.2
A.O.A.BAJO EN GRASA,Carne de ganzo de crianza,Selenio (mg),5.4
A.O.A.BAJO EN GRASA,Carne de pato de crianza,Cantidad sugerida,60
A.O.A.BAJO EN GRASA,Carne de pato de crianza,Unidad,g
A.O.A.BAJO EN GRASA,Carne de pato de crianza,Peso bruto redondeado (g),60
A.O.A.BAJO EN GRASA,Carne de pato de crianza,Peso neto (g),39
A.O.A.BAJO EN GRASA,Carne de pato de crianza,Energia (Kcal),51
A.O.A.BAJO EN GRASA,Carne de pato de crianza,Proteina (g),7.1
A.O.A.BAJO EN GRASA,Carne de pato de crianza,Lípidos (g),2.3
A.O.A.BAJO EN GRASA,Carne de pato de crianza,Hidratos de carbono (g),0.0
A.O.A.BAJO EN GRASA,Carne de pato de crianza,Colesterol (mg),30
A.O.A.BAJO EN GRASA,Carne de pato de crianza,Vitamina A     (µg RE),9.4
A.O.A.BAJO EN GRASA,Carne de pato de crianza,Calcio (mg),4.3
A.O.A.BAJO EN GRASA,Carne de pato de crianza,Hierro (mg),0.9
A.O.A.BAJO EN GRASA,Carne de pato de crianza,Sodio (mg),28.9
A.O.A.BAJO EN GRASA,Carne de pato de crianza,Selenio (mg),5.4
A.O.A.BAJO EN GRASA,Carne de res (promedio),Cantidad sugerida,30
A.O.A.BAJO EN GRASA,Carne de res (promedio),Unidad,g
A.O.A.BAJO EN GRASA,Carne de res (promedio),Peso bruto redondeado (g),30
A.O.A.BAJO EN GRASA,Carne de res (promedio),Peso neto (g),30
A.O.A.BAJO EN GRASA,Carne de res (promedio),Energia (Kcal),54
A.O.A.BAJO EN GRASA,Carne de res (promedio),Proteina (g),6.2
A.O.A.BAJO EN GRASA,Carne de res (promedio),Lípidos (g),3
A.O.A.BAJO EN GRASA,Carne de res (promedio),Hidratos de carbono (g),0.0
A.O.A.BAJO EN GRASA,Carne de res (promedio),Colesterol (mg),19.5
A.O.A.BAJO EN GRASA,Carne de res (promedio),Vitamina A     (µg RE),1.8
A.O.A.BAJO EN GRASA,Carne de res (promedio),Calcio (mg),3.6
A.O.A.BAJO EN GRASA,Carne de res (promedio),Hierro (mg),0.9
A.O.A.BAJO EN GRASA,Carne de res (promedio),Sodio (mg),19.5
A.O.A.BAJO EN GRASA,Carne de res (promedio),Selenio (mg),5.9
A.O.A.BAJO EN GRASA,Carne de ternera,Cantidad sugerida,35
A.O.A.BAJO EN GRASA,Carne de ternera,Unidad,g
A.O.A.BAJO EN GRASA,Carne de ternera,Peso bruto redondeado (g),35
A.O.A.BAJO EN GRASA,Carne de ternera,Peso neto (g),35
A.O.A.BAJO EN GRASA,Carne de ternera,Energia (Kcal),55
A.O.A.BAJO EN GRASA,Carne de ternera,Proteina (g),6.9
A.O.A.BAJO EN GRASA,Carne de ternera,Lípidos (g),2.8
A.O.A.BAJO EN GRASA,Carne de ternera,Hidratos de carbono (g),0.0
A.O.A.BAJO EN GRASA,Carne de ternera,Colesterol (mg),31.5
A.O.A.BAJO EN GRASA,Carne de ternera,Vitamina A     (µg RE),0.0
A.O.A.BAJO EN GRASA,Carne de ternera,Calcio (mg),3.9
A.O.A.BAJO EN GRASA,Carne de ternera,Hierro (mg),1.1
A.O.A.BAJO EN GRASA,Carne de ternera,Sodio (mg),31.5
A.O.A.BAJO EN GRASA,Carne de ternera,Selenio (mg),5.5
A.O.A.BAJO EN GRASA,Carne molida de cerdo,Cantidad sugerida,40
A.O.A.BAJO EN GRASA,Carne molida de cerdo,Unidad,g
A.O.A.BAJO EN GRASA,Carne molida de cerdo,Peso bruto redondeado (g),40
A.O.A.BAJO EN GRASA,Carne molida de cerdo,Peso neto (g),40
A.O.A.BAJO EN GRASA,Carne molida de cerdo,Energia (Kcal),56
A.O.A.BAJO EN GRASA,Carne molida de cerdo,Proteina (g),7.9
A.O.A.BAJO EN GRASA,Carne molida de cerdo,Lípidos (g),2.5
A.O.A.BAJO EN GRASA,Carne molida de cerdo,Hidratos de carbono (g),0.0
A.O.A.BAJO EN GRASA,Carne molida de cerdo,Colesterol (mg),26.0
A.O.A.BAJO EN GRASA,Carne molida de cerdo,Vitamina A     (µg RE),0.4
A.O.A.BAJO EN GRASA,Carne molida de cerdo,Calcio (mg),2.4
A.O.A.BAJO EN GRASA,Carne molida de cerdo,Hierro (mg),0.5
A.O.A.BAJO EN GRASA,Carne molida de cerdo,Sodio (mg),32.8
A.O.A.BAJO EN GRASA,Carne molida de cerdo,Selenio (mg),9.8
A.O.A.BAJO EN GRASA,Carne promedio,Cantidad sugerida,30
A.O.A.BAJO EN GRASA,Carne promedio,Unidad,g
A.O.A.BAJO EN GRASA,Carne promedio,Peso bruto redondeado (g),30
A.O.A.BAJO EN GRASA,Carne promedio,Peso neto (g),29
A.O.A.BAJO EN GRASA,Carne promedio,Energia (Kcal),51
A.O.A.BAJO EN GRASA,Carne promedio,Proteina (g),5.9
A.O.A.BAJO EN GRASA,Carne promedio,Lípidos (g),2.9
A.O.A.BAJO EN GRASA,Carne promedio,Hidratos de carbono (g),0.0
A.O.A.BAJO EN GRASA,Carne promedio,Colesterol (mg),18.5
A.O.A.BAJO EN GRASA,Carne promedio,Vitamina A     (µg RE),1.7
